id,autor,nacionalidad,epoca,tipo_autor,sentimiento,emocion_tag,frase_motivacional,cancion_recomendada,artista_cancion,genero_musical,año_cancion,por_que_combina
699,Gerald Dawe,Irlanda del Norte,Siglo XX-XXI,Poeta,Belfast y memoria personal,memoria personal urbana,Cada esquina de Belfast guarda un recuerdo personal mío entrelazado con la historia política violenta de toda la ciudad.,Streets of Philadelphia,Bruce Springsteen,Rock,1993,Ambos entrelazan memoria personal íntima con la historia más amplia de sus ciudades marcadas por conflicto y transformación.
700,Bernard O'Donoghue,Irlanda,Siglo XX-XXI,Poeta,Emigración y nostalgia rural,nostalgia de emigrante,Dejé el campo irlandés por Oxford — pero en cada poema que escribo todavía puedo oler el heno recién cortado de mi infancia.,Country Roads,John Denver,Country / Folk,1971,Ambos cantan con nostalgia profunda a paisajes rurales de la infancia — el campo natal que permanece vivo en la memoria sensorial.
701,Margaret Atwood,Canadá,Siglo XX-XXI,Poeta / Novelista,Feminismo distópico canadiense,feminismo distópico,Espero que sobrevivas — y que cuentes la historia que viviste para que otros aprendan de lo que casi se pierde.,Survivor,Destiny's Child,R&B / Pop,2001,Ambas celebran la supervivencia femenina ante sistemas opresivos — sobrevivir como acto de resistencia y testimonio.
702,Leonard Cohen,Canadá,Siglo XX-XXI,Poeta / Músico,Espiritualidad y deseo,deseo espiritual,Hay una grieta en todo — así es como entra la luz. La imperfección también puede ser el camino hacia lo sagrado.,Hallelujah,Leonard Cohen,Folk / Rock,1984,Leonard Cohen escribió e interpretó esta canción — su propia poesía musical sobre encontrar lo sagrado en lo imperfecto.
703,Anne Carson,Canadá,Siglo XX-XXI,Poeta,Mito griego y dolor contemporáneo,dolor mitológico,Eros es dulce-amargo. El deseo siempre lleva dentro su propia contradicción desde que los griegos lo nombraron así.,Wicked Game,Chris Isaak,Alternative / Blues rock,1989,Ambos exploran el deseo como fuerza contradictoria que duele y deleita simultáneamente sin poder separarse del todo.
704,Michael Ondaatje,Sri Lanka / Canadá,Siglo XX-XXI,Poeta / Novelista,Memoria y migración asiática-canadiense,memoria migrante,Vine de Ceilán siendo niño. Mi memoria de ese lugar se volvió más vívida cuanto más lejos viví de él físicamente.,Coming Home,Leon Bridges,Soul,2015,Ambos exploran cómo la distancia geográfica puede intensificar paradójicamente la memoria y el amor por el lugar de origen.
705,Dionne Brand,Trinidad / Canadá,Siglo XX-XXI,Poeta laureada,Diáspora negra canadiense,diáspora negra,Toronto se convirtió en mi hogar — pero el Caribe sigue siendo el idioma en que mi cuerpo todavía sueña cada noche.,Coming Home,Diddy feat. Skylar Grey,Hip-hop / Pop,2010,Ambos exploran cómo se construye un nuevo hogar sin abandonar completamente la conexión emocional con el lugar de origen.
706,Lorna Crozier,Canadá,Siglo XX-XXI,Poeta,Praderas canadienses,vastedad de praderas,Las praderas de Saskatchewan son tan planas que el cielo parece ocupar el noventa por ciento de todo lo que se puede ver.,Holocene,Bon Iver,Indie folk,2011,Ambos capturan la sensación de pequeñez humilde ante la inmensidad de paisajes vastos y aparentemente infinitos.
707,Patrick Lane,Canadá,Siglo XX-XXI,Poeta,Naturaleza salvaje canadiense,naturaleza salvaje,El lobo que vi en el bosque me miró sin miedo. En sus ojos entendí que la naturaleza no necesita nuestra aprobación.,Eye of the Tiger,Survivor,Rock,1982,Ambos celebran una fuerza salvaje e independiente — poder natural que existe plenamente sin necesitar validación humana.
708,P.K. Page,Canadá,Siglo XX-XXI,Poeta,Surrealismo canadiense,surrealismo del norte,En el norte helado los sueños se congelan y luego se derriten en primavera revelando formas que nadie esperaba ver.,Holocene,Bon Iver,Indie folk,2011,Ambos evocan paisajes nórdicos fríos y vastos donde lo onírico y lo real se entremezclan de manera natural y silenciosa.
709,Al Purdy,Canadá,Siglo XX,Poeta,Identidad rural canadiense,identidad rural canadiense,Soy de Ontario rural — y aunque viajé el mundo entero siempre regreso a escribir sobre estos campos que me formaron.,Country Roads,John Denver,Country / Folk,1971,Ambos cantan con cariño genuino a sus raíces rurales — el lugar de origen como ancla emocional permanente en la vida.
710,Margaret Avison,Canadá,Siglo XX,Poeta,Fe y percepción,fe perceptiva,Aprender a ver de nuevo después de la conversión espiritual cambió completamente la forma en que percibo cada detalle cotidiano.,Amazing Grace,Tradicional,Gospel,Tradicional,Ambos celebran transformaciones espirituales profundas que cambian radicalmente la manera de percibir el mundo entero.
711,Earle Birney,Canadá,Siglo XX,Poeta,Geografía canadiense vasta,geografía vasta,Canadá es demasiado grande para amarlo completo — solo podés amar los pedazos específicos que realmente conociste de cerca.,Holocene,Bon Iver,Indie folk,2011,Ambos reflexionan sobre cómo la inmensidad geográfica solo puede comprenderse y amarse a través de fragmentos íntimos específicos.
712,Anne Michaels,Canadá,Siglo XX-XXI,Poeta / Novelista,Holocausto y memoria canadiense,memoria del holocausto,Los fragmentos de piedra que sobreviven contienen más historia que cualquier monumento construido después para reemplazarlos.,The Living Years,Mike + The Mechanics,Soft rock,1988,Ambos exploran cómo objetos y fragmentos pequeños retienen memoria histórica de eventos devastadores que marcaron generaciones.
713,Don McKay,Canadá,Siglo XX-XXI,Poeta,Ecología y poesía canadiense,ecología profunda,Cada especie que se extingue se lleva consigo un poema entero que el mundo nunca tendrá oportunidad de escuchar completo.,Big Yellow Taxi,Joni Mitchell,Folk,1970,Ambos lamentan la pérdida ecológica con urgencia poética — cada extinción como una pérdida irreparable de belleza y significado.
714,Roo Borson,Canadá,Siglo XX-XXI,Poeta,Atención sensorial canadiense,atención sensorial,El olor de la lluvia sobre el pavimento caliente de verano me devuelve instantáneamente a un verano específico de mi infancia.,In My Life,The Beatles,Rock / Pop,1965,Ambos exploran cómo experiencias sensoriales específicas pueden desbloquear instantáneamente memorias emocionales profundas del pasado.
715,Karen Solie,Canadá,Siglo XXI,Poeta contemporánea,Praderas y petróleo canadiense,industria y paisaje,Las torres de petróleo en mi provincia natal compiten visualmente con el atardecer más hermoso que jamás haya visto.,Allentown,Billy Joel,Rock,1982,Ambos exploran tensiones entre industria y belleza natural en paisajes transformados por la actividad económica humana.
716,Christian Bök,Canadá,Siglo XXI,Poeta experimental,Poesía generativa y ciencia,experimentación científica,Escribí un poema usando solo el código genético de una bacteria. La ciencia y la poesía no son tan diferentes como crees.,Mr. Roboto,Styx,Rock / New wave,1983,Ambos exploran la intersección fascinante entre tecnología ciencia y creatividad artística de maneras innovadoras y poco convencionales.
717,Rita Wong,Canadá / China,Siglo XXI,Poeta,Agua y justicia ambiental,justicia del agua,El agua que bebemos hoy ya pasó por mil cuerpos antes que el nuestro. Cuidarla es cuidar a toda la cadena de vida.,Big Yellow Taxi,Joni Mitchell,Folk,1970,Ambos defienden la protección de recursos naturales esenciales — el agua y la tierra como herencia compartida que merece cuidado colectivo.
718,Fred Wah,Canadá / China,Siglo XX-XXI,Poeta,Identidad chino-canadiense,identidad chino-canadiense,Soy mitad chino mitad canadiense — y en esa mitad y mitad encontré finalmente una identidad completa y propia.,Same Love,Macklemore ft. Mary Lambert,Hip-hop / Pop,2012,Ambos celebran identidades mixtas como completas en sí mismas — sin necesidad de elegir o jerarquizar entre las partes que las componen.
719,Joy Kogawa,Canadá / Japón,Siglo XX-XXI,Poeta,Internamiento japonés-canadiense,internamiento histórico,Mi familia fue internada durante la guerra solo por ser de origen japonés. Esa injusticia histórica todavía vive en mi escritura.,Strange Fruit,Billie Holiday,Jazz,1939,Ambos dan testimonio de injusticias históricas basadas en el origen étnico — denunciando discriminación sistemática con dignidad artística.
720,Souvankham Thammavongsa,Laos / Canadá,Siglo XXI,Poeta,Refugiados laosianos en Canadá,refugio laosiano,Mis padres llegaron como refugiados de Laos sin hablar el idioma. Cada palabra que aprendí en inglés también honra su sacrificio.,9 to 5,Dolly Parton,Country / Pop,1980,Ambos dignifican el sacrificio de padres trabajadores migrantes — gratitud profunda hacia quienes lo dieron todo para dar oportunidades a sus hijos.
721,Patrick Anderson,Canadá / Reino Unido,Siglo XX,Poeta,Identidad bisexual canadiense temprana,identidad bisexual,Amé a hombres y mujeres en una época que apenas tenía palabras para nombrar lo que yo sentía con total naturalidad.,Same Love,Macklemore ft. Mary Lambert,Hip-hop / Pop,2012,Ambos celebran identidades sexuales que tuvieron que abrirse camino en épocas donde el lenguaje disponible era profundamente limitado.
722,bpNichol,Canadá,Siglo XX,Poeta (Concretismo),Poesía visual canadiense,experimentación visual canadiense,Las letras también tienen forma y peso visual — jugué con eso toda mi vida porque el significado no es solo semántico.,Alphabet Street,Prince,Pop / Funk,1988,Ambos exploran la dimensión visual y lúdica del lenguaje — donde la forma de las letras también comunica algo más allá del significado.
723,Steven Heighton,Canadá,Siglo XX-XXI,Poeta / Novelista,Boxeo y resistencia física,resistencia física,Boxeé profesionalmente antes de ser poeta. Ambas disciplinas exigen la misma resistencia ante el dolor y el cansancio extremo.,Eye of the Tiger,Survivor,Rock,1982,Ambos celebran la disciplina y resistencia física necesaria para superar desafíos extremos — cuerpo y voluntad trabajando juntos.
724,Adam Dickinson,Canadá,Siglo XXI,Poeta contemporáneo,Ciencia y cuerpo humano,ciencia corporal,Mi propio cuerpo es un ecosistema de bacterias y químicos. Escribir sobre ciencia también puede ser profundamente íntimo y personal.,Mr. Roboto,Styx,Rock / New wave,1983,Ambos exploran cómo la ciencia y la tecnología pueden ser temas de profunda reflexión personal y emocional más allá de lo técnico.
725,Liz Howard,Canadá (Ojibwe),Siglo XXI,Poeta indígena,Identidad ojibwe contemporánea,identidad indígena urbana,Soy ojibwe creciendo en la ciudad — mi conexión con la tierra ancestral existe aunque viva lejos de la reserva donde nací mi familia.,Colors of the Wind,Vanessa Williams,Pop / Soundtrack,1995,Ambos exploran conexiones ancestrales con la tierra que persisten incluso en contextos urbanos alejados del territorio tradicional.
726,Marilyn Dumont,Canadá (Métis),Siglo XX-XXI,Poeta indígena,Identidad métis,identidad métis,Soy métis — ni completamente indígena ni completamente europea según las categorías que otros inventaron para definirme.,Same Love,Macklemore ft. Mary Lambert,Hip-hop / Pop,2012,Ambos celebran identidades mixtas que desafían categorías rígidas impuestas externamente — completas y válidas en su propia complejidad.
727,Gregory Scofield,Canadá (Métis),Siglo XX-XXI,Poeta indígena,Identidad métis queer,identidad métis queer,Soy métis y soy gay — dos identidades que algunos creían imposibles de combinar pero que en mí conviven sin ningún conflicto.,Same Love,Macklemore ft. Mary Lambert,Hip-hop / Pop,2012,Ambos celebran intersecciones de identidad que algunos consideran contradictorias — pero que coexisten naturalmente sin necesidad de elegir.
728,Lee Maracle,Canadá (Sto:lo),Siglo XX-XXI,Poeta indígena,Mujer indígena y colonialismo,mujer indígena,Las mujeres indígenas cargamos el peso de cinco siglos de colonialismo — y aun así seguimos contando nuestras propias historias con orgullo.,Run the World (Girls),Beyoncé,Pop,2011,Ambas celebran la resiliencia femenina ante sistemas de opresión históricos — fuerza y orgullo a pesar de siglos de injusticia.
729,Louise Bernice Halfe,Canadá (Cree),Siglo XX-XXI,Poeta indígena,Internado residencial canadiense,trauma de internado,Sobreviví la escuela residencial donde intentaron borrar mi idioma cree. Hoy escribo en ese mismo idioma que casi me quitaron.,Redemption Song,Bob Marley,Reggae,1980,Ambos transforman experiencias de opresión cultural sistemática en arte de resistencia — recuperando lo que intentaron arrebatarles.
730,Jordan Abel,Canadá (Nisga'a),Siglo XXI,Poeta indígena experimental,Apropiación cultural y poesía,deconstrucción cultural,Desarmé textos coloniales sobre mi propio pueblo para mostrar cómo nos representaron mal durante más de un siglo entero.,This Is America,Childish Gambino,Hip-hop,2018,Ambos confrontan directamente narrativas coloniales y racistas — exponiendo cómo fueron construidas para exigir su revisión y corrección.
731,Billy-Ray Belcourt,Canadá (Cree),Siglo XXI,Poeta indígena queer,Identidad cree queer contemporánea,identidad cree queer,Soy cree y soy queer en una época donde finalmente puedo escribir sobre ambas identidades sin tener que esconder ninguna de las dos.,Born This Way,Lady Gaga,Pop,2011,Ambos celebran identidades interseccionales con orgullo absoluto — viviendo abiertamente lo que generaciones anteriores tuvieron que ocultar.
732,Katherena Vermette,Canadá (Métis),Siglo XX-XXI,Poeta indígena,Mujeres indígenas desaparecidas,justicia para mujeres desaparecidas,Demasiadas mujeres indígenas desaparecen sin que nadie investigue lo suficiente. Escribo para que sus nombres no se olviden jamás.,Strange Fruit,Billie Holiday,Jazz,1939,Ambos dan testimonio de violencias sistemáticas contra comunidades marginadas — exigiendo que sus víctimas no caigan en el olvido colectivo.
733,Tenille Campbell,Canadá (Dene/Métis),Siglo XXI,Poeta indígena,Deseo y sexualidad indígena,deseo indígena contemporáneo,El deseo indígena contemporáneo también merece ser celebrado sin vergüenza — somos mucho más que solo trauma histórico para contar.,Cravings,Aurora,Art pop / Indie,2022,Ambas reivindican el deseo y la sexualidad femenina indígena como parte legítima y celebrable de la identidad contemporánea completa.
